date,demand_proxy,temp_c,precip_mm
2022-01-01,10900,10.0,34.0
2022-01-02,13100,1.45,0.5
2022-01-03,8410,-2.45,0.0
2022-01-04,6950,0.05,0.0
2022-01-05,6830,0.6,0.0
2022-01-06,4150,-7.95,0.8
2022-01-07,1840,-8.8,0.0
2022-01-08,1110,-4.15,1.8
2022-01-09,1980,0.6,15.7
2022-01-10,4410,-6.0,0.0
2022-01-11,3220,-6.3,0.0
2022-01-12,1590,2.0,0.0
2022-01-13,1190,3.1,0.0
2022-01-14,1040,-0.5,0.0
2022-01-15,905,-3.8,0.0
2022-01-16,775,-4.4,6.1
2022-01-17,687,-2.95,1.0
2022-01-18,577,-1.9,0.0
2022-01-19,633,2.25,0.0
2022-01-20,684,-6.3,0.0
2022-01-21,594,-7.65,0.0
2022-01-22,486,-7.4,0.0
2022-01-23,441,-3.8,2.0
2022-01-24,452,-4.95,3.0
2022-01-25,444,-6.0,0.0
2022-01-26,413,-12.15,0.0
2022-01-27,369,-8.3,0.0
2022-01-28,418,-6.6,1.3
2022-01-29,362,-11.85,0.0
2022-01-30,345,-4.65,0.0
2022-01-31,345,-3.85,0.0
2022-02-01,399,3.7,0.0
2022-02-02,703,4.75,21.1
2022-02-03,6200,-0.25,29.2
2022-02-04,7270,-7.7,1.5
2022-02-05,4320,-8.5,0.0
2022-02-06,2730,-4.7,0.0
2022-02-07,2040,-2.15,0.0
2022-02-08,1210,-3.25,0.0
2022-02-09,1090,4.15,0.0
2022-02-10,1220,0.35,0.0
2022-02-11,1270,3.95,1.0
2022-02-12,2130,-0.2,0.0
2022-02-13,2720,-6.8,0.0
2022-02-14,2510,-7.7,0.0
2022-02-15,1710,-2.45,0.0
2022-02-16,1200,8.65,0.0
2022-02-17,9210,5.9,46.5
2022-02-18,20400,-3.25,0.0
2022-02-19,12400,-3.85,0.0
2022-02-20,8530,2.0,0.0
2022-02-21,11100,9.2,0.0
2022-02-22,14300,12.75,35.6
2022-02-23,13200,4.8,0.0
2022-02-24,8370,0.05,15.5
2022-02-25,11600,-1.9,5.1
2022-02-26,8990,-2.45,0.0
2022-02-27,8750,1.15,0.0
2022-02-28,7430,2.55,0.0
2022-03-01,7000,9.45,0.0
2022-03-02,6930,8.1,0.3
2022-03-03,6750,4.5,0.0
2022-03-04,5900,1.7,0.0
2022-03-05,2920,13.85,0.0
2022-03-06,2040,16.95,0.5
2022-03-07,11800,9.15,33.0
2022-03-08,13800,3.35,0.0
2022-03-09,9510,4.15,0.0
2022-03-10,10700,3.4,0.0
2022-03-11,9270,4.75,3.3
2022-03-12,5530,-5.15,0.0
2022-03-13,4160,-1.05,0.0
2022-03-14,3480,7.55,0.0
2022-03-15,1530,10.85,0.0
2022-03-16,1170,11.65,0.0
2022-03-17,1000,14.75,0.0
2022-03-18,843,14.2,1.3
2022-03-19,900,9.7,6.1
2022-03-20,2870,8.9,1.3
2022-03-21,4390,12.5,0.0
2022-03-22,3830,11.95,0.0
2022-03-23,2500,15.0,9.1
2022-03-24,2050,9.2,0.0
2022-03-25,2160,4.45,1.5
2022-03-26,2240,1.45,0.0
2022-03-27,1520,-1.05,0.3
2022-03-28,1290,-3.25,0.0
2022-03-29,944,0.85,0.0
2022-03-30,845,15.3,0.0
2022-03-31,761,13.05,1.5
2022-04-01,712,3.65,0.3
2022-04-02,620,3.1,0.0
2022-04-03,561,6.7,0.0
2022-04-04,526,6.95,2.5
2022-04-05,551,7.75,4.6
2022-04-06,632,10.0,4.8
2022-04-07,657,8.05,0.3
2022-04-08,592,6.15,0.0
2022-04-09,604,3.9,6.1
2022-04-10,622,7.2,0.0
2022-04-11,745,12.8,10.4
2022-04-12,879,15.0,2.5
2022-04-13,2330,19.75,10.2
2022-04-14,8170,11.65,0.3
2022-04-15,9680,13.9,0.0
2022-04-16,7730,8.6,6.9
2022-04-17,5060,4.8,0.0
2022-04-18,3230,3.6,16.3
2022-04-19,3660,5.0,0.0
2022-04-20,3820,7.25,0.0
2022-04-21,2950,15.0,7.9
2022-04-22,2230,14.2,0.0
2022-04-23,1740,20.3,0.0
2022-04-24,1610,22.5,0.0
2022-04-25,1550,18.9,10.9
2022-04-26,1120,8.6,0.0
2022-04-27,901,7.5,0.0
2022-04-28,925,8.05,0.0
2022-04-29,866,12.5,0.0
2022-04-30,786,15.0,0.5
2022-05-01,770,18.9,5.1
2022-05-02,726,15.8,0.0
2022-05-03,947,17.75,23.6
2022-05-04,1170,14.2,0.0
2022-05-05,966,14.45,14.2
2022-05-06,5010,14.7,48.5
2022-05-07,8350,12.5,4.8
2022-05-08,6590,12.2,0.0
