date,demand_proxy,temp_c,precip_mm
2025-01-01,112.244,0.287,0.11
2025-01-02,100.19,-6.978,0.06
2025-01-03,103.562,-0.832,0.12
2025-01-04,97.154,-0.606,0.087
2025-01-05,95.603,0.327,12.025
2025-01-06,105.349,-3.063,0.038
2025-01-07,106.636,-2.039,0.079
2025-01-08,104.755,0.442,0.017
2025-01-09,102.093,-3.561,0.14
2025-01-10,98.751,-3.661,10.247
2025-01-11,99.173,-3.115,0.059
2025-01-12,98.553,1.794,10.458
2025-01-13,107.544,1.021,0.024
2025-01-14,101.34,-3.044,17.843
2025-01-15,105.404,-6.382,0.063
2025-01-16,103.943,1.286,0.022
2025-01-17,101.8,1.766,0
2025-01-18,100.537,-3.907,0.061
2025-01-19,99.943,-2.314,0.1
2025-01-20,104.62,0.537,4.431
2025-01-21,106.693,0.659,6.216
2025-01-22,107.263,1.26,0.016
2025-01-23,103.137,-6.235,1.486
2025-01-24,98.198,-3.696,15.83
2025-01-25,100.596,-3.745,2.384
2025-01-26,98.724,-6.239,0.069
2025-01-27,107.873,-5.291,0.008
2025-01-28,105.816,-0.541,0.031
2025-01-29,101.944,0.019,16.429
2025-01-30,105.631,4.188,0
2025-01-31,103.312,-1.678,0.101
2025-02-01,101.614,-5.07,0.075
2025-02-02,103.894,6.097,0.083
2025-02-03,105.08,-7.041,2.788
2025-02-04,108.201,-0.59,0.063
2025-02-05,105.715,-3.372,3.93
2025-02-06,107.966,5.685,0.129
2025-02-07,100.658,-3.675,3.069
2025-02-08,104.362,2.892,0.125
2025-02-09,100.831,-0.196,3.308
2025-02-10,112.333,-3.518,0.064
2025-02-11,112.631,1.019,0.073
2025-02-12,109.886,1.315,0.139
2025-02-13,112.532,5.637,1.696
2025-02-14,104.995,6.352,4.346
2025-02-15,101.746,-1.911,0.018
2025-02-16,98.856,0.549,16.923
2025-02-17,106.099,-5.366,0
2025-02-18,106.14,-1.489,0.123
2025-02-19,105.354,1.548,9.095
2025-02-20,109.017,4.791,0.157
2025-02-21,100.435,-0.509,7.516
2025-02-22,108.037,2.146,0.251
2025-02-23,102.387,-0.733,0
2025-02-24,106.769,3.152,3.057
2025-02-25,109.028,1.769,0.008
2025-02-26,114.885,2.138,0
2025-02-27,112.874,-1.527,0.197
2025-02-28,109.591,-1.001,0.077
2025-03-01,98.094,-0.251,11.213
2025-03-02,104.269,2.64,4.98
2025-03-03,112.365,1.455,0.131
2025-03-04,111.218,4.524,0.05
2025-03-05,101.677,4.581,36.01
2025-03-06,110.016,4.974,1.958
2025-03-07,102.355,5.45,12.433
2025-03-08,104.189,2.581,0.054
2025-03-09,109.869,3.937,0.062
2025-03-10,110.826,-3.764,0.064
2025-03-11,116.203,3.443,0.076
2025-03-12,109.515,-0.09,0.024
2025-03-13,109.736,1.637,0.154
2025-03-14,117.468,10.739,0.085
2025-03-15,107.804,6.792,0.026
2025-03-16,108.236,3.349,0
2025-03-17,118.598,5.166,0.11
2025-03-18,113.239,8.312,0.045
2025-03-19,110.693,4.515,0.101
2025-03-20,109.509,3.13,1.713
2025-03-21,114.099,10.273,0
2025-03-22,103.355,7.011,0.179
2025-03-23,108.12,5.095,1.018
2025-03-24,120.478,9.903,0.115
2025-03-25,113.896,8.147,0.072
2025-03-26,108.583,7.14,8.395
2025-03-27,110.503,7.423,0
2025-03-28,115.156,8.683,0.051
2025-03-29,116.198,10.991,0.094
2025-03-30,102.61,7.808,19.039
2025-03-31,117.25,12.871,0
2025-04-01,115.16,6.356,0.092
2025-04-02,111.388,4.594,0.054
2025-04-03,112.84,10.804,6.906
2025-04-04,114.144,11.249,5.253
2025-04-05,108.856,8.513,0.029
2025-04-06,110.294,12.648,0
2025-04-07,109.605,2.748,10.995
2025-04-08,123.682,13.923,0.044
2025-04-09,113.787,10.954,0.002
2025-04-10,105.345,8.04,11.42
2025-04-11,114.922,12.363,0.088
2025-04-12,103.237,5.47,3.485
2025-04-13,111.475,9.459,0.035
2025-04-14,117.454,12.934,0.023
2025-04-15,122.865,15.415,0.139
2025-04-16,122.151,11.804,0.206
2025-04-17,111.924,12.67,13.727
2025-04-18,111.814,12.588,0
2025-04-19,106.641,6.261,0.013
2025-04-20,118.362,19.317,2.35
2025-04-21,119.305,12.43,0.1
2025-04-22,129.197,16.967,0.051
2025-04-23,121.218,14.498,0.057
2025-04-24,118.229,13.824,0
2025-04-25,115.572,11.502,0.099
2025-04-26,114.908,17.92,4.764
2025-04-27,113.689,17.66,0.023
2025-04-28,116.232,10.101,0.122
2025-04-29,122.303,10.295,0.007
2025-04-30,118.48,16.711,0.087
2025-05-01,119.473,14.584,0.043
2025-05-02,121.382,16.853,3.193
2025-05-03,111.554,12.859,0.157
2025-05-04,121.443,20.669,0.166
2025-05-05,122.181,17.214,0.021
2025-05-06,119.511,15.162,1.043
2025-05-07,122.138,20.479,0
2025-05-08,116.645,14.37,0.036
2025-05-09,119.139,16.71,2.224
2025-05-10,122.037,18.656,0.074
2025-05-11,114.827,17.347,0
2025-05-12,118.541,13.845,0.009
2025-05-13,121.772,17.8,0.054
2025-05-14,125.394,21.104,5.348
2025-05-15,122.279,19.021,0.045
2025-05-16,120.064,15.734,0
2025-05-17,116.81,22.798,0.079
2025-05-18,116.13,15.294,0
2025-05-19,134.201,25.573,0
2025-05-20,135.18,24.523,0.07
2025-05-21,118.557,14.265,4.18
2025-05-22,121.7,20.505,0.091
2025-05-23,127.487,23.988,0
2025-05-24,118.746,22.528,0.862
2025-05-25,118.605,21.014,0.086
2025-05-26,125.708,16.328,0.069
2025-05-27,132.272,25.245,0.053
2025-05-28,124.176,18.785,3.749
2025-05-29,124.764,17.602,0.179
2025-05-30,119.977,19.796,0.025
2025-05-31,111.556,20.644,9.73
2025-06-01,122.443,23.645,0.064
2025-06-02,127.309,21.106,0
2025-06-03,128.755,20.461,0.036
2025-06-04,118.926,18.326,7.988
2025-06-05,128.869,25.882,0
2025-06-06,115.696,19.256,0.043
2025-06-07,108.373,17.112,0.008
2025-06-08,121.475,24.929,0
2025-06-09,121.477,25.225,29.128
2025-06-10,129.317,22.145,0.1
2025-06-11,123.32,21.137,0.01
2025-06-12,121.44,21.395,0.17
2025-06-13,123.875,21.688,0.03
2025-06-14,109.033,15.958,2.884
2025-06-15,117.419,20.348,0.139
2025-06-16,122.423,20.088,0.134
2025-06-17,125.531,20.579,0.032
2025-06-18,125.453,23.552,2.154
2025-06-19,119.227,19.804,0.105
2025-06-20,111.109,20.52,14.197
2025-06-21,111.746,20.93,7.76
2025-06-22,118.66,20.39,0.055
2025-06-23,129.877,23.457,0.063
2025-06-24,134.027,26.722,0.285
2025-06-25,124.914,20.952,0.058
2025-06-26,131.597,30.045,4.394
2025-06-27,126.627,23.406,0.214
2025-06-28,127.472,28.066,0.118
2025-06-29,121.51,25.911,10.135
2025-06-30,129.262,25.645,0.057
2025-07-01,125.769,20.515,0.188
2025-07-02,128.536,25.48,0.051
2025-07-03,117.944,21.213,6.473
2025-07-04,128.596,24.502,0.122
2025-07-05,119.613,25.594,0.034
2025-07-06,121.484,24.352,1.639
2025-07-07,119.058,19.152,13.016
2025-07-08,128.731,25.023,0
2025-07-09,128.073,26.139,0.138
2025-07-10,119.147,20.965,0.067
2025-07-11,119.821,23.116,0.01
2025-07-12,122.511,25.976,0.07
2025-07-13,110.971,21.344,17.238
2025-07-14,123.722,21.278,0
2025-07-15,121.546,25.099,0.147
2025-07-16,127.167,26.266,0
2025-07-17,124.158,22.585,0.024
2025-07-18,126.905,30.865,22.602
2025-07-19,126.542,24.674,0.079
2025-07-20,123.838,27.681,0.128
2025-07-21,123.33,23.369,6.315
2025-07-22,129.592,25.989,0
2025-07-23,117.736,21.742,5.848
2025-07-24,125.4,27.512,4.248
2025-07-25,123.597,25.71,0.108
2025-07-26,109.149,18.724,6.085
2025-07-27,117.406,24.645,0.126
2025-07-28,118.198,20.938,7.799
2025-07-29,114.957,16.632,0
2025-07-30,119.616,23.276,4.651
2025-07-31,119.748,21.766,0
2025-08-01,120.277,24.792,0.177
2025-08-02,127.807,30.991,0
2025-08-03,110.003,20.885,8.484
2025-08-04,131.242,27.416,0.165
2025-08-05,129.215,28.542,4.625
2025-08-06,120.631,22.271,0.201
2025-08-07,123.014,25.34,0.056
2025-08-08,122.597,25.363,0.182
2025-08-09,119.15,25.724,5.699
2025-08-10,121.187,24.421,0.089
2025-08-11,119.239,24.572,0.077
2025-08-12,125.909,24.77,0
2025-08-13,127.132,24.968,0
2025-08-14,118.819,21.783,0.05
2025-08-15,125.583,28.395,0
2025-08-16,113.69,22.992,0.03
2025-08-17,118.88,25.946,4.779
2025-08-18,128.068,24.841,0
2025-08-19,121.182,21.423,0.086
2025-08-20,112.112,17.717,10.888
2025-08-21,112.03,17.991,0.026
2025-08-22,123.629,25.136,0.194
2025-08-23,113.737,21.862,0.111
2025-08-24,113.625,22.492,0.045
2025-08-25,120.611,20.604,0.05
2025-08-26,123.783,23.929,0.11
2025-08-27,110.684,17.684,3.874
2025-08-28,112.524,18.217,4.819
2025-08-29,118.231,22.417,0.083
2025-08-30,105.046,14.427,0
2025-08-31,113.461,20.998,0.145
2025-09-01,123.71,19.249,3.77
2025-09-02,114.395,18.9,0.104
2025-09-03,119.549,23.633,0.058
2025-09-04,109.876,17.597,0.093
2025-09-05,115.798,21.574,0.034
2025-09-06,121.168,27.823,0.168
2025-09-07,112.821,21.137,8.799
2025-09-08,116.377,18.181,0
2025-09-09,112.951,16.029,0.166
2025-09-10,111.047,18.645,5.021
2025-09-11,112.874,19.814,0.275
2025-09-12,115.853,23.492,5.388
2025-09-13,105.954,19.062,0
2025-09-14,112.141,20.607,0.002
2025-09-15,122.106,20.865,0
2025-09-16,123.945,23.178,0.128
2025-09-17,119.294,21.543,0.098
2025-09-18,106.406,14.215,0
2025-09-19,114.677,21.696,0.169
2025-09-20,103.719,13.634,0.058
2025-09-21,110.028,20.744,8.194
2025-09-22,114.407,16.92,0.031
2025-09-23,112.134,15.838,0.042
2025-09-24,104.637,9.781,0.029
2025-09-25,115.134,20.704,0.153
2025-09-26,112.782,16.19,0.05
2025-09-27,99.194,8.435,3.712
2025-09-28,103.406,17.157,13.219
2025-09-29,115.356,18.508,3.644
2025-09-30,108.896,15.216,0
2025-10-01,103.967,11.195,0.03
2025-10-02,109.534,11.623,0.247
2025-10-03,105.149,13.239,1.869
2025-10-04,99.582,11.144,0
2025-10-05,104.018,14.592,8.618
2025-10-06,106.422,11.335,6.094
2025-10-07,111.824,14.843,5.438
2025-10-08,97.166,12.63,22.963
2025-10-09,102.7,10.264,2.094
2025-10-10,104.398,14.351,3.323
2025-10-11,102.275,9.968,0.074
2025-10-12,96.383,10.994,0
2025-10-13,109.615,7.926,0.283
2025-10-14,110.785,11.97,0.083
2025-10-15,104.352,9.005,0.108
2025-10-16,105.012,13.455,0.006
2025-10-17,101.882,7.652,0
2025-10-18,103.68,12.264,0.052
