method,feature,score,rank_note,feature_group
correlation,demand_lag_1,0.689619,pearson_vs_target_train,lags
spearman,demand_lag_1,0.696495,spearman_vs_target_train,lags
correlation,demand_lag_7,0.741388,pearson_vs_target_train,lags
spearman,demand_lag_7,0.749130,spearman_vs_target_train,lags
correlation,demand_lag_14,0.743535,pearson_vs_target_train,lags
spearman,demand_lag_14,0.743334,spearman_vs_target_train,lags
correlation,demand_roll_3,0.725816,pearson_vs_target_train,rolling
spearman,demand_roll_3,0.730076,spearman_vs_target_train,rolling
correlation,demand_roll_7,0.779824,pearson_vs_target_train,rolling
spearman,demand_roll_7,0.777893,spearman_vs_target_train,rolling
correlation,demand_roll_14,0.777935,pearson_vs_target_train,rolling
spearman,demand_roll_14,0.771003,spearman_vs_target_train,rolling
correlation,temp_c,0.769952,pearson_vs_target_train,temp
spearman,temp_c,0.792104,spearman_vs_target_train,temp
correlation,temp_squared,0.781447,pearson_vs_target_train,temp
spearman,temp_squared,0.784043,spearman_vs_target_train,temp
correlation,precip_mm,-0.246346,pearson_vs_target_train,precip
spearman,precip_mm,-0.163512,spearman_vs_target_train,precip
correlation,precip_flag,-0.113139,pearson_vs_target_train,precip
spearman,precip_flag,-0.110224,spearman_vs_target_train,precip
correlation,dow_sin,0.249490,pearson_vs_target_train,dow
spearman,dow_sin,0.240434,spearman_vs_target_train,dow
correlation,dow_cos,0.112693,pearson_vs_target_train,dow
spearman,dow_cos,0.153212,spearman_vs_target_train,dow
correlation,month_sin,0.156932,pearson_vs_target_train,month
spearman,month_sin,0.190839,spearman_vs_target_train,month
correlation,month_cos,-0.679755,pearson_vs_target_train,month
spearman,month_cos,-0.640488,spearman_vs_target_train,month
correlation,is_holiday,0.136235,pearson_vs_target_train,holiday
spearman,is_holiday,0.140984,spearman_vs_target_train,holiday
mutual_info,demand_lag_1,0.294528,mi_regression_train,lags
mutual_info,demand_lag_7,0.509050,mi_regression_train,lags
mutual_info,demand_lag_14,0.399963,mi_regression_train,lags
mutual_info,demand_roll_3,0.436598,mi_regression_train,rolling
mutual_info,demand_roll_7,0.462800,mi_regression_train,rolling
mutual_info,demand_roll_14,0.447688,mi_regression_train,rolling
mutual_info,temp_c,0.463599,mi_regression_train,temp
mutual_info,temp_squared,0.466886,mi_regression_train,temp
mutual_info,precip_mm,0.034876,mi_regression_train,precip
mutual_info,precip_flag,0.000000,mi_regression_train,precip
mutual_info,dow_sin,0.101481,mi_regression_train,dow
mutual_info,dow_cos,0.004195,mi_regression_train,dow
mutual_info,month_sin,0.222451,mi_regression_train,month
mutual_info,month_cos,0.391476,mi_regression_train,month
mutual_info,is_holiday,0.000000,mi_regression_train,holiday
rfe,demand_lag_1,-8.000000,rank_8,lags
rfe,demand_lag_7,-2.000000,rank_2,lags
rfe,demand_lag_14,-1.000000,selected,lags
rfe,demand_roll_3,-4.000000,rank_4,rolling
rfe,demand_roll_7,-7.000000,rank_7,rolling
rfe,demand_roll_14,-1.000000,selected,rolling
rfe,temp_c,-1.000000,selected,temp
rfe,temp_squared,-1.000000,selected,temp
rfe,precip_mm,-1.000000,selected,precip
rfe,precip_flag,-9.000000,rank_9,precip
rfe,dow_sin,-1.000000,selected,dow
rfe,dow_cos,-5.000000,rank_5,dow
rfe,month_sin,-1.000000,selected,month
rfe,month_cos,-3.000000,rank_3,month
rfe,is_holiday,-6.000000,rank_6,holiday
permutation,demand_lag_1,-0.004205,std_0.012347,lags
permutation,demand_lag_7,0.090347,std_0.047328,lags
permutation,demand_lag_14,0.195687,std_0.107294,lags
permutation,demand_roll_3,0.059416,std_0.038662,rolling
permutation,demand_roll_7,-0.019195,std_0.012230,rolling
permutation,demand_roll_14,-0.015886,std_0.059508,rolling
permutation,temp_c,1.189116,std_0.142480,temp
permutation,temp_squared,0.582153,std_0.123285,temp
permutation,precip_mm,0.412715,std_0.104389,precip
permutation,precip_flag,-0.002386,std_0.005177,precip
permutation,dow_sin,0.593411,std_0.112664,dow
permutation,dow_cos,0.172005,std_0.111189,dow
permutation,month_sin,0.025081,std_0.091073,month
permutation,month_cos,-0.070711,std_0.045643,month
permutation,is_holiday,0.305569,std_0.074334,holiday
