model,ablation,mae,rmse,r2
SeasonalNaive,none,4.442775,5.271871,-0.371779
Ridge,none,2.252225,2.769555,0.621405
RandomForest,none,3.648559,4.436326,0.028593
SeasonalNaive,drop_lags,4.442775,5.271871,-0.371779
Ridge,drop_lags,2.380846,2.866509,0.594434
RandomForest,drop_lags,3.312706,3.985844,0.215858
SeasonalNaive,drop_rolling,4.442775,5.271871,-0.371779
Ridge,drop_rolling,2.311985,2.844420,0.600661
RandomForest,drop_rolling,3.579068,4.344427,0.068422
SeasonalNaive,drop_temp,4.442775,5.271871,-0.371779
Ridge,drop_temp,2.962821,3.575310,0.369069
RandomForest,drop_temp,3.641333,4.399344,0.044721
SeasonalNaive,drop_precip,4.442775,5.271871,-0.371779
Ridge,drop_precip,2.453428,3.107519,0.523369
RandomForest,drop_precip,3.715258,4.557253,-0.025087
SeasonalNaive,drop_dow,4.442775,5.271871,-0.371779
Ridge,drop_dow,2.382619,3.057301,0.538650
RandomForest,drop_dow,3.801021,4.620953,-0.053944
SeasonalNaive,drop_month,4.442775,5.271871,-0.371779
Ridge,drop_month,3.430634,4.285643,0.093461
RandomForest,drop_month,3.779567,4.615222,-0.051332
SeasonalNaive,drop_holiday,4.442775,5.271871,-0.371779
Ridge,drop_holiday,2.421584,2.992309,0.558056
RandomForest,drop_holiday,3.655654,4.440463,0.026780
